Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
292,High,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour17,None,5A,"PA, Lehigh County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 02802",10 to 19 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,Masonry,1000-1499,0-1499,1,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,60F,Yes,No,3F,0F,None,Night -5h,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",25 ACH50
293,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour18,None,5A,"MA, Barnstable County",Non-CBSA New England,MA,CR03,New England,New England,Northeast,NEISO,Cold,"MA, 04800",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,WoodStud,1000-1499,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,12,None,R-49,None,None,Composition Shingles,Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,65F,67F,Yes,No,3F,0F,None,Day and Night +2h,Standard Efficiency,EF 15.9,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,121%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
294,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour18,Hour16,None,5A,"IN, Lake County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",IN,CR04,East North Central,East North Central,Midwest,MISO,Cold,"IN, 00102",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Slab,Masonry,1000-1499,0-1499,1,8,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,None,None,Uninsulated,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",2+ Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,"Room AC, EER 9.8",72F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 10.5,"Electric, 120% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",15 ACH50
295,High,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour8,None,4A,"MO, Clay County",Non-CBSA West North Central,MO,CR08,West North Central,West North Central,Midwest,MISO,Mixed-Humid,"MO, 00902",10 to 19 Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Crawl,Masonry,750-999,0-1499,2,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,7,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,70F,Yes,No,6F,0F,None,Day and Night +2h,Standard Efficiency,EF 17.6,"Electric, 120% Usage","318 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,86%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",25 ACH50
296,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour9,Hour20,None,4A,"TN, Davidson County",Non-CBSA East South Central,TN,CR08,East South Central,East South Central,South,None,Mixed-Humid,"TN, 02501",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,Masonry,500-749,0-1499,3,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,75F,No,No,0F,0F,None,None,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage",None,None,None,100% CFL,123%,None,None,None,None,None,None,No,None,25 ACH50
297,Low,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour2,Hour17,None,5A,"IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,East North Central,Midwest,PJM,Cold,"IL, 03525",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Slab,Masonry,1000-1499,0-1499,2,54,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,12,None,R-38,None,None,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-30,"CMU, 6-in Hollow, R-11",2+ Pane,No,Natural Gas,Natural Gas Premium,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,80F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 10.5,"Gas, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,89%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",10 ACH50
298,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour17,Hour9,None,5B,"WA, Spokane County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Cold,"WA, 10502",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units high,Crawl,WoodStud,500-749,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,R-7,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,60F,No,Yes,0F,2F,Day Setup +2h,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,93%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",25 ACH50
299,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour14,None,4A,"VA, Fairfax County","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",VA,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"VA, 59307",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Slab,Masonry,500-749,0-1499,2,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-13,None,None,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-19,"CMU, 6-in Hollow, R-15",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,80F,Yes,No,3F,0F,None,Night,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% CFL,106%,None,"EF 12, National Average",None,None,None,None,Yes,"30% Leakage, R-4",25 ACH50
300,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour14,None,5A,"IL, DuPage County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,East North Central,Midwest,PJM,Cold,"IL, 03208",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Unheated Basement,WoodStud,750-999,0-1499,2,16,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F15 B15 L15 R15,7,None,R-49,None,None,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,Uninsulated,"Wood Stud, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,68F,No,No,0F,0F,None,None,Standard Efficiency,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage",None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",15 ACH50
301,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour19,None,2A,"GA, Chatham County",Non-CBSA South Atlantic,GA,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"GA, 00401",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Electricity,<5,Crawl,WoodStud,750-999,0-1499,1,4,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F6 B6 L6 R6,7,None,R-13,None,None,Composition Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Electricity,Electric Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Cooling Only,Fan Coil Cooling Only,"Electric Furnace, 100% AFUE",Electricity Electric Furnace,Shared Cooling,70F,70F,No,No,0F,0F,None,None,None,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% CFL,82%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",50 ACH50
302,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour18,Hour15,None,4A,"NJ, Monmouth County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NJ,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"NJ, 01101",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,Masonry,1000-1499,0-1499,2,54,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,7,None,R-7,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,72F,Yes,Yes,6F,2F,Night Setback -3h,Day,Standard Efficiency,EF 10.5,"Electric, 80% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,Yes,"10% Leakage, R-6",10 ACH50
303,Medium,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour16,None,2A,"TX, Harris County","CBSA Houston-The Woodlands-Sugar Land, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 04629",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,WoodStud,1000-1499,0-1499,3,12,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,67F,72F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",100% LED,104%,None,None,None,None,None,None,Yes,"30% Leakage, R-8",10 ACH50
304,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,4A,"PA, York County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03601",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,Masonry,1000-1499,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,12,None,R-30,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Yes,Electricity,Electric Premium,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,None,70F,60F,Yes,No,3F,0F,None,Night +1h,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,None,None,None,100% CFL,119%,None,"EF 12, National Average",None,None,None,None,No,None,30 ACH50
305,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour8,None,5A,"NE, Douglas County",Non-CBSA West North Central,NE,CR08,West North Central,West North Central,Midwest,SPP,Cold,"NE, 00901",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Crawl,Masonry,500-749,0-1499,3,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-19,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-13, Vented",None,None,None,R-13,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,70F,No,Yes,0F,5F,Night Setup -1h,None,None,EF 15.9,"Electric, 80% Usage",None,None,None,None,100% CFL,86%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",10 ACH50
306,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour12,None,5A,"OH, Montgomery County",Non-CBSA East North Central,OH,CR04,East North Central,East North Central,Midwest,PJM,Cold,"OH, 04603",50 or more Unit,1960s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units low,Unheated Basement,Masonry,500-749,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-19,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,60F,72F,No,Yes,0F,2F,Night Setup +3h,None,Standard Efficiency,EF 6.7,"Electric, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,89%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",30 ACH50
307,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour8,Hour10,None,4A,"WV, Kanawha County",Non-CBSA South Atlantic,WV,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"WV, 01000",3 or 4 Unit,1980s,1980-99,Multi-Family with 2 - 4 Units,Electricity,<5,Crawl,Masonry,500-749,0-1499,1,4,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-38,None,None,Composition Shingles,None,"Ceiling R-19, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,68F,No,Yes,0F,5F,Day Setup +3h,None,None,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,82%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",15 ACH50
308,Low,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour8,None,6B,"MT, Gallatin County",Non-CBSA Mountain,MT,CR05,Mountain,Mountain North,West,None,Cold,"MT, 00500",3 or 4 Unit,2000s,2000-09,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,750-999,0-1499,1,3,None,None,1,Double-Loaded Interior,No,1,Occupied,F15 B15 L15 R15,27,None,R-38,None,None,Composition Shingles,None,None,Ceiling R-19,None,None,R-30,"Wood Stud, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Electric, 80% Usage",None,None,None,None,100% CFL,96%,None,None,None,None,None,None,Yes,"20% Leakage, R-6",15 ACH50
309,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour8,None,4A,"NY, Kings County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04016",50 or more Unit,1960s,1960-79,Multi-Family with 5+ Units,Natural Gas,50 or more Units low,Crawl,Masonry,500-749,0-1499,2,54,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,12,None,R-7,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,75F,78F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Gas, 120% Usage",None,None,None,None,100% LED,89%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",30 ACH50
310,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour0,None,4A,"NY, Kings County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04017",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,Masonry,1000-1499,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,68F,76F,Yes,Yes,6F,9F,Day Setup,Night -2h,Standard Efficiency,EF 15.9,"Gas, 80% Usage",None,None,None,None,100% CFL,119%,None,None,None,None,None,None,No,None,15 ACH50
311,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,Gas Fireplace,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour15,Hour18,None,4A,"MD, Baltimore County",Non-CBSA South Atlantic,MD,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"MD, 00502",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Slab,Masonry,1000-1499,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium","2ft R10 Perimeter, R10 Gap",None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,75F,No,Yes,0F,5F,Day and Night Setup +4h,None,None,EF 6.7,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% Incandescent,106%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",15 ACH50
