Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	CA, 07105	0.937031	0.0629685	206	4669	206	4669
Multi-Family with 2 - 4 Units	CA, 07105	0.832392	0.167608	134	3896	134	3896
Multi-Family with 5+ Units	CA, 07105	0.848738	0.151262	238	6935	238	6935
Single-Family Attached	CA, 07105	0.835564	0.164436	80	2092	80	2092
Single-Family Detached	CA, 07105	0.961366	0.038634	1401	35228	1401	35228
Mobile Home	CA, 07106	0.859149	0.140851	102	2208	102	2208
Multi-Family with 2 - 4 Units	CA, 07106	0.823404	0.176596	102	2350	102	2350
Multi-Family with 5+ Units	CA, 07106	0.833096	0.166904	336	9119	336	9119
Single-Family Attached	CA, 07106	0.91649	0.0835095	79	1892	79	1892
Single-Family Detached	CA, 07106	0.946444	0.0535564	960	21398	960	21398
Mobile Home	CA, 07107	0.887152	0.112848	112	2623	112	2623
Multi-Family with 2 - 4 Units	CA, 07107	0.896214	0.103786	89	2351	89	2351
Multi-Family with 5+ Units	CA, 07107	0.926094	0.0739063	269	7063	269	7063
Single-Family Attached	CA, 07107	0.932528	0.0674723	44	993	44	993
Single-Family Detached	CA, 07107	0.960582	0.0394177	913	20676	913	20676
Mobile Home	CA, 07108	0.878526	0.121474	182	3474	182	3474
Multi-Family with 2 - 4 Units	CA, 07108	0.909972	0.0900277	147	3610	147	3610
Multi-Family with 5+ Units	CA, 07108	0.912794	0.087206	383	8715	383	8715
Single-Family Attached	CA, 07108	0.861	0.139	96	2000	96	2000
Single-Family Detached	CA, 07108	0.954859	0.0451413	1621	32210	1621	32210
Mobile Home	CA, 07109	0.907746	0.0922541	62	1149	62	1149
Multi-Family with 2 - 4 Units	CA, 07109	0.92132	0.0786802	79	1970	79	1970
Multi-Family with 5+ Units	CA, 07109	0.959371	0.0406295	150	3495	150	3495
Single-Family Attached	CA, 07109	0.963039	0.036961	33	487	33	487
Single-Family Detached	CA, 07109	0.956732	0.0432678	1153	23343	1153	23343
Mobile Home	CA, 07110	0.9003	0.0997001	60	1334	60	1334
Multi-Family with 2 - 4 Units	CA, 07110	0.984039	0.0159611	69	1441	69	1441
Multi-Family with 5+ Units	CA, 07110	0.937532	0.0624679	339	7796	339	7796
Single-Family Attached	CA, 07110	0.975831	0.0241692	50	993	50	993
Single-Family Detached	CA, 07110	0.957409	0.0425906	836	18760	836	18760
Mobile Home	CA, 07111	0.94121	0.0587903	93	1769	93	1769
Multi-Family with 2 - 4 Units	CA, 07111	0.98307	0.01693	96	2658	96	2658
Multi-Family with 5+ Units	CA, 07111	0.916998	0.0830018	453	14831	453	14831
Single-Family Attached	CA, 07111	0.968659	0.0313407	170	3446	170	3446
Single-Family Detached	CA, 07111	0.96686	0.0331397	1800	36663	1800	36663
Mobile Home	CA, 07112	1	0	96	2110	96	2110
Multi-Family with 2 - 4 Units	CA, 07112	0.982461	0.0175393	161	3877	161	3877
Multi-Family with 5+ Units	CA, 07112	0.96615	0.0338499	345	9099	345	9099
Single-Family Attached	CA, 07112	0.988667	0.0113326	153	2559	153	2559
Single-Family Detached	CA, 07112	0.970271	0.0297287	1430	23849	1430	23849
Mobile Home	CA, 07113	0.968966	0.0310345	100	2320	100	2320
Multi-Family with 2 - 4 Units	CA, 07113	0.973906	0.0260941	206	4867	206	4867
Multi-Family with 5+ Units	CA, 07113	0.917932	0.0820684	422	10211	422	10211
Single-Family Attached	CA, 07113	0.972933	0.0270666	214	4101	214	4101
Single-Family Detached	CA, 07113	0.969528	0.0304722	1714	31701	1714	31701
Mobile Home	CA, 07114	0.943519	0.0564808	61	1381	61	1381
Multi-Family with 2 - 4 Units	CA, 07114	0.885976	0.114024	64	1526	64	1526
Multi-Family with 5+ Units	CA, 07114	0.880356	0.119644	302	8099	302	8099
Single-Family Attached	CA, 07114	0.933651	0.066349	149	2728	149	2728
Single-Family Detached	CA, 07114	0.950494	0.0495063	1972	37874	1972	37874
Mobile Home	CA, 07115	0.908663	0.0913371	37	1062	37	1062
Multi-Family with 2 - 4 Units	CA, 07115	1	0	18	420	18	420
Multi-Family with 5+ Units	CA, 07115	0.958287	0.041713	66	1798	66	1798
Single-Family Attached	CA, 07115	0.895639	0.104361	30	642	30	642
Single-Family Detached	CA, 07115	0.980696	0.0193043	1126	28491	1126	28491
Mobile Home	CA, 07301	0.871608	0.128392	113	2874	113	2874
Multi-Family with 2 - 4 Units	CA, 07301	0.867552	0.132448	205	5723	205	5723
Multi-Family with 5+ Units	CA, 07301	0.848085	0.151915	588	15094	588	15094
Single-Family Attached	CA, 07301	0.951638	0.0483621	429	12241	429	12241
Single-Family Detached	CA, 07301	0.960303	0.0396968	1495	31665	1495	31665
Mobile Home	CA, 07302	0.78733	0.21267	454	5572	454	5572
Multi-Family with 2 - 4 Units	CA, 07302	0.901186	0.0988142	44	1012	44	1012
Multi-Family with 5+ Units	CA, 07302	0.883184	0.116816	154	4460	154	4460
Single-Family Attached	CA, 07302	0.783099	0.216901	65	1420	65	1420
Single-Family Detached	CA, 07302	0.855865	0.144135	1980	35321	1980	35321
Mobile Home	CA, 07303	0.969078	0.0309218	85	1714	85	1714
Multi-Family with 2 - 4 Units	CA, 07303	0.972781	0.0272189	91	1690	91	1690
Multi-Family with 5+ Units	CA, 07303	0.942509	0.0574907	371	8871	371	8871
Single-Family Attached	CA, 07303	0.989268	0.0107321	139	2609	139	2609
Single-Family Detached	CA, 07303	0.959943	0.0400566	1172	21195	1172	21195
Mobile Home	CA, 07304	0.916076	0.0839243	87	1692	87	1692
Multi-Family with 2 - 4 Units	CA, 07304	0.894317	0.105683	95	3009	95	3009
Multi-Family with 5+ Units	CA, 07304	0.847818	0.152182	376	11000	376	11000
Single-Family Attached	CA, 07304	0.894743	0.105257	378	8883	378	8883
Single-Family Detached	CA, 07304	0.944234	0.0557661	1136	27705	1136	27705
Mobile Home	CA, 07305	0.965082	0.0349176	257	6186	257	6186
Multi-Family with 2 - 4 Units	CA, 07305	0.925983	0.0740174	76	1959	76	1959
Multi-Family with 5+ Units	CA, 07305	0.906947	0.0930534	398	10811	398	10811
Single-Family Attached	CA, 07305	0.940011	0.0599894	157	3784	157	3784
Single-Family Detached	CA, 07305	0.957262	0.0427377	912	22135	912	22135
Mobile Home	CA, 07306	0.947935	0.0520654	119	2324	119	2324
Multi-Family with 2 - 4 Units	CA, 07306	0.946675	0.0533246	146	3038	146	3038
Multi-Family with 5+ Units	CA, 07306	0.959547	0.0404529	542	11569	542	11569
Single-Family Attached	CA, 07306	0.958655	0.0413445	159	2975	159	2975
Single-Family Detached	CA, 07306	0.965039	0.0349609	1477	25314	1477	25314
Mobile Home	CA, 07307	0.910055	0.0899451	233	5281	233	5281
Multi-Family with 2 - 4 Units	CA, 07307	0.914417	0.0855826	56	1519	56	1519
Multi-Family with 5+ Units	CA, 07307	0.957875	0.0421249	166	5365	166	5365
Single-Family Attached	CA, 07307	0.985714	0.0142857	74	1400	74	1400
Single-Family Detached	CA, 07307	0.947214	0.0527859	1453	25916	1453	25916
Mobile Home	CA, 07308	1	0	35	680	35	680
Multi-Family with 2 - 4 Units	CA, 07308	0.986747	0.0132526	121	2641	121	2641
Multi-Family with 5+ Units	CA, 07308	0.952994	0.0470059	365	9786	365	9786
Single-Family Attached	CA, 07308	0.988799	0.0112012	254	5178	254	5178
Single-Family Detached	CA, 07308	0.969014	0.0309856	1740	30853	1740	30853
Mobile Home	CA, 07309	0.670468	0.329532	34	877	34	877
Multi-Family with 2 - 4 Units	CA, 07309	0.88598	0.11402	201	5271	201	5271
Multi-Family with 5+ Units	CA, 07309	0.927236	0.0727636	482	14018	482	14018
Single-Family Attached	CA, 07309	0.918267	0.0817331	407	8332	407	8332
Single-Family Detached	CA, 07309	0.935498	0.0645019	1781	40867	1781	40867
Mobile Home	CA, 07310	0.863933	0.136067	9	274	28295	537307
Multi-Family with 2 - 4 Units	CA, 07310	0.864403	0.135597	361	8599	361	8599
Multi-Family with 5+ Units	CA, 07310	0.829883	0.170117	1238	29709	1238	29709
Single-Family Attached	CA, 07310	0.836916	0.163084	455	9817	455	9817
Single-Family Detached	CA, 07310	0.872952	0.127048	1941	35947	1941	35947
Mobile Home	CA, 07311	0.863933	0.136067	4	138	28295	537307
Multi-Family with 2 - 4 Units	CA, 07311	0.986382	0.0136175	70	1689	70	1689
Multi-Family with 5+ Units	CA, 07311	0.92853	0.0714698	255	8661	255	8661
Single-Family Attached	CA, 07311	0.954545	0.0454545	175	4026	175	4026
Single-Family Detached	CA, 07311	0.970323	0.0296774	1412	28237	1412	28237
Mobile Home	CA, 07312	0.902834	0.097166	12	247	12	247
Multi-Family with 2 - 4 Units	CA, 07312	0.970234	0.0297659	182	2990	182	2990
Multi-Family with 5+ Units	CA, 07312	0.923879	0.0761209	845	21768	845	21768
Single-Family Attached	CA, 07312	0.942535	0.0574649	307	5412	307	5412
Single-Family Detached	CA, 07312	0.969307	0.0306934	770	13586	770	13586
Mobile Home	CA, 07313	0.938168	0.0618319	228	4771	228	4771
Multi-Family with 2 - 4 Units	CA, 07313	0.960277	0.0397233	180	4481	180	4481
Multi-Family with 5+ Units	CA, 07313	0.964745	0.0352546	770	19345	770	19345
Single-Family Attached	CA, 07313	0.982568	0.0174319	213	4073	213	4073
Single-Family Detached	CA, 07313	0.96187	0.0381303	1822	29845	1822	29845
Mobile Home	CA, 07314	0.972281	0.0277186	34	469	34	469
Multi-Family with 2 - 4 Units	CA, 07314	0.996109	0.00389105	124	3341	124	3341
Multi-Family with 5+ Units	CA, 07314	0.91142	0.0885803	739	19948	739	19948
Single-Family Attached	CA, 07314	0.97451	0.0254899	350	6787	350	6787
Single-Family Detached	CA, 07314	0.955566	0.0444344	1739	33330	1739	33330
Mobile Home	CA, 07315	1	0	42	775	42	775
Multi-Family with 2 - 4 Units	CA, 07315	0.952619	0.0473809	163	3799	163	3799
Multi-Family with 5+ Units	CA, 07315	0.895487	0.104513	898	26370	898	26370
Single-Family Attached	CA, 07315	0.949902	0.050098	317	7146	317	7146
Single-Family Detached	CA, 07315	0.974388	0.0256118	1437	30728	1437	30728
Mobile Home	CA, 07316	0.863933	0.136067	4	102	28295	537307
Multi-Family with 2 - 4 Units	CA, 07316	0.917183	0.0828171	365	7426	365	7426
Multi-Family with 5+ Units	CA, 07316	0.892488	0.107512	1992	54617	1992	54617
Single-Family Attached	CA, 07316	0.856744	0.143256	278	7525	278	7525
Single-Family Detached	CA, 07316	0.897699	0.102301	1075	21818	1075	21818
Mobile Home	CA, 07317	0.981132	0.0188679	32	636	32	636
Multi-Family with 2 - 4 Units	CA, 07317	0.943418	0.0565822	220	5249	220	5249
Multi-Family with 5+ Units	CA, 07317	0.912356	0.0876438	1034	27201	1034	27201
Single-Family Attached	CA, 07317	0.894904	0.105096	229	5024	229	5024
Single-Family Detached	CA, 07317	0.941253	0.0587471	1304	25414	1304	25414
Mobile Home	CA, 07318	0.94716	0.0528402	46	757	46	757
Multi-Family with 2 - 4 Units	CA, 07318	0.943902	0.0560983	153	3173	153	3173
Multi-Family with 5+ Units	CA, 07318	0.948445	0.0515552	301	7041	301	7041
Single-Family Attached	CA, 07318	0.924374	0.0756257	257	5514	257	5514
Single-Family Detached	CA, 07318	0.947451	0.0525494	1711	30105	1711	30105
Mobile Home	CA, 07319	0.944476	0.0555244	80	1783	80	1783
Multi-Family with 2 - 4 Units	CA, 07319	1	0	103	2408	103	2408
Multi-Family with 5+ Units	CA, 07319	0.900514	0.099486	347	9338	347	9338
Single-Family Attached	CA, 07319	0.993007	0.00699301	155	2717	155	2717
Single-Family Detached	CA, 07319	0.958847	0.0411528	1583	28868	1583	28868
Mobile Home	CA, 07320	0.67193	0.32807	14	570	14	570
Multi-Family with 2 - 4 Units	CA, 07320	0.990521	0.00947867	52	1266	52	1266
Multi-Family with 5+ Units	CA, 07320	0.887508	0.112492	172	6196	172	6196
Single-Family Attached	CA, 07320	0.88517	0.11483	275	8395	275	8395
Single-Family Detached	CA, 07320	0.958149	0.0418507	1211	31923	1211	31923
Mobile Home	CA, 07321	0.880076	0.119924	226	4236	226	4236
Multi-Family with 2 - 4 Units	CA, 07321	0.93226	0.0677403	222	3912	222	3912
Multi-Family with 5+ Units	CA, 07321	0.90942	0.0905804	950	20468	950	20468
Single-Family Attached	CA, 07321	0.829414	0.170586	278	5698	278	5698
Single-Family Detached	CA, 07321	0.935286	0.0647143	1401	23766	1401	23766
Mobile Home	CA, 07322	0.962814	0.0371859	149	2985	149	2985
Multi-Family with 2 - 4 Units	CA, 07322	0.953538	0.0464622	159	3293	159	3293
Multi-Family with 5+ Units	CA, 07322	0.904149	0.0958511	530	12895	530	12895
Single-Family Attached	CA, 07322	0.92036	0.0796396	185	4106	185	4106
Single-Family Detached	CA, 07322	0.959025	0.0409747	1038	19329	1038	19329
Mobile Home	CA, 07501	0.863933	0.136067	3	51	28295	537307
Multi-Family with 2 - 4 Units	CA, 07501	0.917453	0.0825469	1022	23417	1022	23417
Multi-Family with 5+ Units	CA, 07501	0.908967	0.0910325	1406	32406	1406	32406
Single-Family Attached	CA, 07501	0.952953	0.0470465	320	5739	320	5739
Single-Family Detached	CA, 07501	0.902384	0.0976163	447	8810	447	8810
Mobile Home	CA, 07502	0.863933	0.136067	5	135	28295	537307
Multi-Family with 2 - 4 Units	CA, 07502	0.874327	0.125673	572	14498	572	14498
Multi-Family with 5+ Units	CA, 07502	0.877231	0.122769	2052	47178	2052	47178
Single-Family Attached	CA, 07502	0.861979	0.138021	89	1920	89	1920
Single-Family Detached	CA, 07502	0.9119	0.0881003	138	3269	138	3269
Mobile Home	CA, 07503	0.863933	0.136067	3	67	28295	537307
Multi-Family with 2 - 4 Units	CA, 07503	0.921903	0.0780974	498	9629	498	9629
Multi-Family with 5+ Units	CA, 07503	0.858183	0.141817	2009	65345	2009	65345
Single-Family Attached	CA, 07503	0.978185	0.021815	124	2292	124	2292
Single-Family Detached	CA, 07503	0.959372	0.0406279	182	3249	182	3249
Mobile Home	CA, 07504	0.863933	0.136067	4	174	28295	537307
Multi-Family with 2 - 4 Units	CA, 07504	0.896416	0.103584	935	20399	935	20399
Multi-Family with 5+ Units	CA, 07504	0.898745	0.101255	910	22063	910	22063
Single-Family Attached	CA, 07504	0.985613	0.0143868	240	4379	240	4379
Single-Family Detached	CA, 07504	0.949212	0.0507881	558	10849	558	10849
Mobile Home	CA, 07505	0.863933	0.136067	4	128	28295	537307
Multi-Family with 2 - 4 Units	CA, 07505	0.898943	0.101057	446	9648	446	9648
Multi-Family with 5+ Units	CA, 07505	0.945057	0.0549426	377	8882	377	8882
Single-Family Attached	CA, 07505	0.991509	0.00849057	628	11660	628	11660
Single-Family Detached	CA, 07505	0.948603	0.0513967	696	15429	696	15429
Mobile Home	CA, 07506	0.863933	0.136067	0	0	28295	537307
Multi-Family with 2 - 4 Units	CA, 07506	0.90748	0.0925197	177	4064	177	4064
Multi-Family with 5+ Units	CA, 07506	0.932936	0.0670641	354	6710	354	6710
Single-Family Attached	CA, 07506	0.975945	0.024055	541	10476	541	10476
Single-Family Detached	CA, 07506	0.947759	0.0522414	971	20233	971	20233
Mobile Home	CA, 07507	0.863933	0.136067	4	116	28295	537307
Multi-Family with 2 - 4 Units	CA, 07507	0.933831	0.0661694	187	4156	187	4156
Multi-Family with 5+ Units	CA, 07507	0.929457	0.0705426	293	5160	293	5160
Single-Family Attached	CA, 07507	0.98134	0.0186603	625	9271	625	9271
Single-Family Detached	CA, 07507	0.953342	0.0466583	847	16010	847	16010
Mobile Home	CA, 07701	0.97624	0.0237596	67	1431	67	1431
Multi-Family with 2 - 4 Units	CA, 07701	0.936076	0.0639242	235	4959	235	4959
Multi-Family with 5+ Units	CA, 07701	0.895775	0.104225	557	12521	557	12521
Single-Family Attached	CA, 07701	0.943318	0.0566818	269	4834	269	4834
Single-Family Detached	CA, 07701	0.954758	0.0452417	1966	39941	1966	39941
Mobile Home	CA, 07702	0.933628	0.0663717	48	1130	48	1130
Multi-Family with 2 - 4 Units	CA, 07702	0.873818	0.126182	184	4018	184	4018
Multi-Family with 5+ Units	CA, 07702	0.83567	0.16433	353	6846	353	6846
Single-Family Attached	CA, 07702	0.765416	0.234584	87	1573	87	1573
Single-Family Detached	CA, 07702	0.93269	0.0673097	1851	37632	1851	37632
Mobile Home	CA, 07703	0.949477	0.0505234	97	2197	97	2197
Multi-Family with 2 - 4 Units	CA, 07703	0.948405	0.0515954	131	2946	131	2946
Multi-Family with 5+ Units	CA, 07703	0.899548	0.100452	223	5535	223	5535
Single-Family Attached	CA, 07703	1	0	110	2042	110	2042
Single-Family Detached	CA, 07703	0.965111	0.0348893	2811	56149	2811	56149
Mobile Home	CA, 07704	0.917956	0.0820437	230	4071	230	4071
Multi-Family with 2 - 4 Units	CA, 07704	0.91306	0.0869399	114	2611	114	2611
Multi-Family with 5+ Units	CA, 07704	0.915731	0.0842687	255	5613	255	5613
Single-Family Attached	CA, 07704	0.921575	0.0784247	140	2920	140	2920
Single-Family Detached	CA, 07704	0.947935	0.0520648	2373	44291	2373	44291
Mobile Home	CA, 07901	0.823961	0.176039	284	6135	284	6135
Multi-Family with 2 - 4 Units	CA, 07901	0.87237	0.12763	316	7890	316	7890
Multi-Family with 5+ Units	CA, 07901	0.862275	0.137725	402	9381	402	9381
Single-Family Attached	CA, 07901	0.833126	0.166874	258	5627	258	5627
Single-Family Detached	CA, 07901	0.850522	0.149478	2245	49064	2245	49064
Mobile Home	CA, 07902	0.794291	0.205709	129	3048	129	3048
Multi-Family with 2 - 4 Units	CA, 07902	0.958248	0.0417522	84	2922	84	2922
Multi-Family with 5+ Units	CA, 07902	0.973749	0.026251	101	3657	101	3657
Single-Family Attached	CA, 07902	1	0	93	1632	93	1632
Single-Family Detached	CA, 07902	0.891972	0.108028	1448	32649	1448	32649
Mobile Home	CA, 08101	0.929797	0.0702028	54	641	54	641
Multi-Family with 2 - 4 Units	CA, 08101	0.939901	0.0600989	173	5258	173	5258
Multi-Family with 5+ Units	CA, 08101	0.962358	0.0376416	430	10414	430	10414
Single-Family Attached	CA, 08101	0.997607	0.00239282	248	5015	248	5015
Single-Family Detached	CA, 08101	0.968491	0.0315094	1444	25897	1444	25897
Mobile Home	CA, 08102	0.934911	0.0650888	16	338	16	338
Multi-Family with 2 - 4 Units	CA, 08102	0.947862	0.0521376	138	3836	138	3836
Multi-Family with 5+ Units	CA, 08102	0.936108	0.0638916	414	10330	414	10330
Single-Family Attached	CA, 08102	0.967752	0.032248	153	3194	153	3194
Single-Family Detached	CA, 08102	0.976408	0.0235918	1230	24712	1230	24712
Mobile Home	CA, 08103	0.863933	0.136067	5	73	28295	537307
Multi-Family with 2 - 4 Units	CA, 08103	0.891284	0.108716	130	3155	130	3155
Multi-Family with 5+ Units	CA, 08103	0.914862	0.0851377	667	15610	667	15610
Single-Family Attached	CA, 08103	0.981972	0.0180276	93	1886	93	1886
Single-Family Detached	CA, 08103	0.946988	0.0530125	1373	22108	1373	22108
Mobile Home	CA, 08104	0.86747	0.13253	34	913	34	913
Multi-Family with 2 - 4 Units	CA, 08104	0.919612	0.0803879	156	3197	156	3197
Multi-Family with 5+ Units	CA, 08104	0.912596	0.0874041	701	14084	701	14084
Single-Family Attached	CA, 08104	0.969455	0.0305453	348	6253	348	6253
Single-Family Detached	CA, 08104	0.952882	0.0471183	1664	26720	1664	26720
Mobile Home	CA, 08105	0.977354	0.022646	70	839	70	839
Multi-Family with 2 - 4 Units	CA, 08105	0.972891	0.0271095	146	2951	146	2951
Multi-Family with 5+ Units	CA, 08105	0.931839	0.0681614	797	16681	797	16681
Single-Family Attached	CA, 08105	1	0	221	4272	221	4272
Single-Family Detached	CA, 08105	0.96472	0.0352802	1633	28713	1633	28713
Mobile Home	CA, 08106	0.91129	0.0887097	15	372	15	372
Multi-Family with 2 - 4 Units	CA, 08106	0.935572	0.064428	103	2561	103	2561
Multi-Family with 5+ Units	CA, 08106	0.873714	0.126286	293	7776	293	7776
Single-Family Attached	CA, 08106	0.905766	0.0942341	115	2324	115	2324
Single-Family Detached	CA, 08106	0.945859	0.054141	1676	27650	1676	27650
Mobile Home	CA, 08301	0.966822	0.0331778	89	1929	89	1929
Multi-Family with 2 - 4 Units	CA, 08301	0.918699	0.0813008	110	2829	110	2829
Multi-Family with 5+ Units	CA, 08301	0.951165	0.0488348	270	6737	270	6737
Single-Family Attached	CA, 08301	0.978387	0.0216131	96	1897	96	1897
Single-Family Detached	CA, 08301	0.965195	0.0348053	1288	24910	1288	24910
Mobile Home	CA, 08302	0.914861	0.0851393	128	1938	128	1938
Multi-Family with 2 - 4 Units	CA, 08302	0.928901	0.0710992	128	2602	128	2602
Multi-Family with 5+ Units	CA, 08302	0.935515	0.0644853	171	4187	171	4187
Single-Family Attached	CA, 08302	0.939563	0.0604372	107	2333	107	2333
Single-Family Detached	CA, 08302	0.940798	0.0592025	1535	25303	1535	25303
Mobile Home	CA, 08303	0.854052	0.145948	126	2912	126	2912
Multi-Family with 2 - 4 Units	CA, 08303	0.91478	0.08522	406	8613	406	8613
Multi-Family with 5+ Units	CA, 08303	0.922555	0.077445	987	23875	987	23875
Single-Family Attached	CA, 08303	0.909191	0.0908089	310	6354	310	6354
Single-Family Detached	CA, 08303	0.903588	0.0964116	2158	40742	2158	40742
Mobile Home	CA, 08501	0.91973	0.0802701	91	1333	91	1333
Multi-Family with 2 - 4 Units	CA, 08501	0.934334	0.0656657	254	5528	254	5528
Multi-Family with 5+ Units	CA, 08501	0.899864	0.100136	1389	30928	1389	30928
Single-Family Attached	CA, 08501	0.970147	0.029853	411	6599	411	6599
Single-Family Detached	CA, 08501	0.954896	0.0451044	2513	40506	2513	40506
Mobile Home	CA, 08502	0.994147	0.00585309	168	3417	168	3417
Multi-Family with 2 - 4 Units	CA, 08502	0.96471	0.0352901	235	5809	235	5809
Multi-Family with 5+ Units	CA, 08502	0.92154	0.0784596	925	22929	925	22929
Single-Family Attached	CA, 08502	0.972038	0.0279621	309	6330	309	6330
Single-Family Detached	CA, 08502	0.959296	0.0407037	1349	23192	1349	23192
Mobile Home	CA, 08503	0.904049	0.0959507	40	1136	40	1136
Multi-Family with 2 - 4 Units	CA, 08503	0.962717	0.0372831	189	4667	189	4667
Multi-Family with 5+ Units	CA, 08503	0.918699	0.0813005	1057	28573	1057	28573
Single-Family Attached	CA, 08503	0.932829	0.0671706	269	5821	269	5821
Single-Family Detached	CA, 08503	0.959195	0.0408047	1151	21027	1151	21027
Mobile Home	CA, 08504	0.961538	0.0384615	91	1872	91	1872
