Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Single-Family Detached	AZ, 00207	Vacant	1	0	0	83	2822	83	2822
Mobile Home	AZ, 00208	Occupied	0	0.730159	0.269841	206	4977	206	4977
Mobile Home	AZ, 00208	Vacant	1	0	0	24	729	24	729
Multi-Family with 2 - 4 Units	AZ, 00208	Occupied	0	0.0342436	0.965756	129	2307	129	2307
Multi-Family with 2 - 4 Units	AZ, 00208	Vacant	1	0	0	17	360	17	360
Multi-Family with 5+ Units	AZ, 00208	Occupied	0	0.00749866	0.992501	264	5601	264	5601
Multi-Family with 5+ Units	AZ, 00208	Vacant	1	0	0	42	932	42	932
Single-Family Attached	AZ, 00208	Occupied	0	0.315008	0.684992	143	2492	143	2492
Single-Family Attached	AZ, 00208	Vacant	1	0	0	11	262	11	262
Single-Family Detached	AZ, 00208	Occupied	0	0.715734	0.284266	1211	19830	1211	19830
Single-Family Detached	AZ, 00208	Vacant	1	0	0	76	1842	76	1842
Mobile Home	AZ, 00209	Occupied	0	0.958991	0.0410095	104	1585	104	1585
Mobile Home	AZ, 00209	Vacant	1	0	0	13	451	13	451
Multi-Family with 2 - 4 Units	AZ, 00209	Occupied	0	0.191446	0.808554	80	1964	80	1964
Multi-Family with 2 - 4 Units	AZ, 00209	Vacant	1	0	0	11	373	11	373
Multi-Family with 5+ Units	AZ, 00209	Occupied	0	0.0897846	0.910215	418	9378	418	9378
Multi-Family with 5+ Units	AZ, 00209	Vacant	1	0	0	47	1800	47	1800
Single-Family Attached	AZ, 00209	Occupied	0	0.438566	0.561434	231	4045	231	4045
Single-Family Attached	AZ, 00209	Vacant	1	0	0	13	479	13	479
Single-Family Detached	AZ, 00209	Occupied	0	0.765517	0.234483	1594	29678	1594	29678
Single-Family Detached	AZ, 00209	Vacant	1	0	0	69	2292	69	2292
Mobile Home	AZ, 00300	Occupied	0	0.810201	0.189799	1093	12940	1093	12940
Mobile Home	AZ, 00300	Vacant	1	0	0	643	7672	643	7672
Multi-Family with 2 - 4 Units	AZ, 00300	Occupied	0	0.023247	0.976753	203	2624	203	2624
Multi-Family with 2 - 4 Units	AZ, 00300	Vacant	1	0	0	119	1419	119	1419
Multi-Family with 5+ Units	AZ, 00300	Occupied	0	0.0348767	0.965123	88	1663	88	1663
Multi-Family with 5+ Units	AZ, 00300	Vacant	1	0	0	29	501	29	501
Single-Family Attached	AZ, 00300	Occupied	0	0.579297	0.420703	81	1053	81	1053
Single-Family Attached	AZ, 00300	Vacant	1	0	0	43	594	43	594
Single-Family Detached	AZ, 00300	Occupied	0	0.790803	0.209197	3994	37577	3994	37577
Single-Family Detached	AZ, 00300	Vacant	1	0	0	2783	24859	2783	24859
Mobile Home	AZ, 00400	Occupied	0	0.74542	0.25458	423	6277	423	6277
Mobile Home	AZ, 00400	Vacant	1	0	0	182	2423	182	2423
Multi-Family with 2 - 4 Units	AZ, 00400	Occupied	0	0.0374849	0.962515	117	2481	117	2481
Multi-Family with 2 - 4 Units	AZ, 00400	Vacant	1	0	0	36	1116	36	1116
Multi-Family with 5+ Units	AZ, 00400	Occupied	0	0.0452009	0.954799	320	7168	320	7168
Multi-Family with 5+ Units	AZ, 00400	Vacant	1	0	0	44	1554	44	1554
Single-Family Attached	AZ, 00400	Occupied	0	0.399352	0.600648	151	3085	151	3085
Single-Family Attached	AZ, 00400	Vacant	1	0	0	20	700	20	700
Single-Family Detached	AZ, 00400	Occupied	0	0.801625	0.198375	1981	28436	1981	28436
Single-Family Detached	AZ, 00400	Vacant	1	0	0	819	12846	819	12846
Mobile Home	AZ, 00500	Occupied	0	0.688322	0.311678	721	18317	721	18317
Mobile Home	AZ, 00500	Vacant	1	0	0	142	4213	142	4213
Multi-Family with 2 - 4 Units	AZ, 00500	Occupied	0	0.0618436	0.938156	198	5999	198	5999
Multi-Family with 2 - 4 Units	AZ, 00500	Vacant	1	0	0	20	1000	20	1000
Multi-Family with 5+ Units	AZ, 00500	Occupied	0	0.0411417	0.958858	204	5080	204	5080
Multi-Family with 5+ Units	AZ, 00500	Vacant	1	0	0	14	607	14	607
Single-Family Attached	AZ, 00500	Occupied	0	0.541438	0.458562	142	3282	142	3282
Single-Family Attached	AZ, 00500	Vacant	1	0	0	20	633	20	633
Single-Family Detached	AZ, 00500	Occupied	0	0.847598	0.152402	2895	65708	2895	65708
Single-Family Detached	AZ, 00500	Vacant	1	0	0	414	12003	414	12003
Mobile Home	AZ, 00600	Occupied	0	0.732518	0.267482	1190	25269	1190	25269
Mobile Home	AZ, 00600	Vacant	1	0	0	527	14512	527	14512
Multi-Family with 2 - 4 Units	AZ, 00600	Occupied	0	0.139064	0.860936	190	4746	190	4746
Multi-Family with 2 - 4 Units	AZ, 00600	Vacant	1	0	0	33	1116	33	1116
Multi-Family with 5+ Units	AZ, 00600	Occupied	0	0.0914151	0.908585	207	4671	207	4671
Multi-Family with 5+ Units	AZ, 00600	Vacant	1	0	0	55	1875	55	1875
Single-Family Attached	AZ, 00600	Occupied	0	0.550196	0.449804	93	1534	93	1534
Single-Family Attached	AZ, 00600	Vacant	1	0	0	9	253	710	18356
Single-Family Detached	AZ, 00600	Occupied	0	0.7875	0.2125	2848	60014	2848	60014
Single-Family Detached	AZ, 00600	Vacant	1	0	0	523	16883	523	16883
Mobile Home	AZ, 00700	Occupied	0	0.746167	0.253833	1052	17413	1052	17413
Mobile Home	AZ, 00700	Vacant	1	0	0	458	11523	458	11523
Multi-Family with 2 - 4 Units	AZ, 00700	Occupied	0	0.0740028	0.925997	139	3635	139	3635
Multi-Family with 2 - 4 Units	AZ, 00700	Vacant	1	0	0	21	677	21	677
Multi-Family with 5+ Units	AZ, 00700	Occupied	0	0.026333	0.973667	233	6114	233	6114
Multi-Family with 5+ Units	AZ, 00700	Vacant	1	0	0	32	1026	32	1026
Single-Family Attached	AZ, 00700	Occupied	0	0.500604	0.499396	149	2483	149	2483
Single-Family Attached	AZ, 00700	Vacant	1	0	0	2	63	992	33165
Single-Family Detached	AZ, 00700	Occupied	0	0.778795	0.221205	2138	43453	2138	43453
Single-Family Detached	AZ, 00700	Vacant	1	0	0	206	6238	206	6238
Mobile Home	AZ, 00800	Occupied	0	0.778204	0.221796	584	9644	584	9644
Mobile Home	AZ, 00800	Vacant	1	0	0	179	3725	179	3725
Multi-Family with 2 - 4 Units	AZ, 00800	Occupied	0	0.00686695	0.993133	54	1165	54	1165
Multi-Family with 2 - 4 Units	AZ, 00800	Vacant	1	0	0	20	421	20	421
Multi-Family with 5+ Units	AZ, 00800	Occupied	0	0.0390805	0.96092	56	1305	56	1305
Multi-Family with 5+ Units	AZ, 00800	Vacant	1	0	0	19	438	19	438
Single-Family Attached	AZ, 00800	Occupied	0	0.528912	0.471088	33	588	33	588
Single-Family Attached	AZ, 00800	Vacant	1	0	0	9	264	710	18356
Single-Family Detached	AZ, 00800	Occupied	0	0.754866	0.245134	1727	27895	1727	27895
Single-Family Detached	AZ, 00800	Vacant	1	0	0	507	11892	507	11892
Mobile Home	AZ, 00803	Occupied	0	0.832511	0.167489	527	11965	527	11965
Mobile Home	AZ, 00803	Vacant	1	0	0	140	5239	140	5239
Multi-Family with 2 - 4 Units	AZ, 00803	Occupied	0	0.0211082	0.978892	35	1137	35	1137
Multi-Family with 2 - 4 Units	AZ, 00803	Vacant	1	0	0	6	365	1145	40992
Multi-Family with 5+ Units	AZ, 00803	Occupied	0	0.091858	0.908142	31	958	31	958
Multi-Family with 5+ Units	AZ, 00803	Vacant	1	0	0	14	561	14	561
Single-Family Attached	AZ, 00803	Occupied	0	0.827893	0.172107	32	674	32	674
Single-Family Attached	AZ, 00803	Vacant	1	0	0	3	111	992	33165
Single-Family Detached	AZ, 00803	Occupied	0	0.840565	0.159435	1583	39803	1583	39803
Single-Family Detached	AZ, 00803	Vacant	1	0	0	145	6700	145	6700
Mobile Home	AZ, 00805	Occupied	0	0.752979	0.247021	221	4615	221	4615
Mobile Home	AZ, 00805	Vacant	1	0	0	66	2322	66	2322
Multi-Family with 2 - 4 Units	AZ, 00805	Occupied	0	0.218911	0.781089	42	973	42	973
Multi-Family with 2 - 4 Units	AZ, 00805	Vacant	1	0	0	7	121	1145	40992
Multi-Family with 5+ Units	AZ, 00805	Occupied	0	0.0214592	0.978541	48	932	48	932
Multi-Family with 5+ Units	AZ, 00805	Vacant	1	0	0	4	100	4193	145418
Single-Family Attached	AZ, 00805	Occupied	0	0.597293	0.402707	29	591	29	591
Single-Family Attached	AZ, 00805	Vacant	1	0	0	2	71	992	33165
Single-Family Detached	AZ, 00805	Occupied	0	0.835084	0.164916	1326	29415	1326	29415
Single-Family Detached	AZ, 00805	Vacant	1	0	0	194	7053	194	7053
Mobile Home	AZ, 00807	Occupied	0	0.734829	0.265171	348	6773	348	6773
Mobile Home	AZ, 00807	Vacant	1	0	0	115	2991	115	2991
Multi-Family with 2 - 4 Units	AZ, 00807	Occupied	0	0.028887	0.971113	50	1177	50	1177
Multi-Family with 2 - 4 Units	AZ, 00807	Vacant	1	0	0	1	33	1145	40992
Multi-Family with 5+ Units	AZ, 00807	Occupied	0	0.0478389	0.952161	105	2383	105	2383
Multi-Family with 5+ Units	AZ, 00807	Vacant	1	0	0	11	353	11	353
Single-Family Attached	AZ, 00807	Occupied	0	0.497758	0.502242	48	892	48	892
Single-Family Attached	AZ, 00807	Vacant	1	0	0	9	309	992	33165
Single-Family Detached	AZ, 00807	Occupied	0	0.765156	0.234844	1918	34508	1918	34508
Single-Family Detached	AZ, 00807	Vacant	1	0	0	196	5448	196	5448
Mobile Home	AZ, 00900	Occupied	0	0.729007	0.270993	616	10694	616	10694
Mobile Home	AZ, 00900	Vacant	1	0	0	152	3339	152	3339
Multi-Family with 2 - 4 Units	AZ, 00900	Occupied	0	0.0228106	0.977189	116	2455	116	2455
Multi-Family with 2 - 4 Units	AZ, 00900	Vacant	1	0	0	27	802	27	802
Multi-Family with 5+ Units	AZ, 00900	Occupied	0	0.0202536	0.979746	234	5678	234	5678
Multi-Family with 5+ Units	AZ, 00900	Vacant	1	0	0	42	1450	42	1450
Single-Family Attached	AZ, 00900	Occupied	0	0.326542	0.673458	105	1865	105	1865
Single-Family Attached	AZ, 00900	Vacant	1	0	0	14	444	14	444
Single-Family Detached	AZ, 00900	Occupied	0	0.797194	0.202806	2519	45324	2519	45324
Single-Family Detached	AZ, 00900	Vacant	1	0	0	346	7391	346	7391
Mobile Home	CA, 00101	Occupied	0	0.807781	0.192219	4	55	1729	23286
Mobile Home	CA, 00101	Vacant	1	0	0	0	0	50	1134
Multi-Family with 2 - 4 Units	CA, 00101	Occupied	0	0.235908	0.764092	591	9864	591	9864
Multi-Family with 2 - 4 Units	CA, 00101	Vacant	1	0	0	35	951	35	951
Multi-Family with 5+ Units	CA, 00101	Occupied	0	0.0556163	0.944384	1000	17387	1000	17387
Multi-Family with 5+ Units	CA, 00101	Vacant	1	0	0	47	1525	47	1525
Single-Family Attached	CA, 00101	Occupied	0	0.436454	0.563546	159	2211	159	2211
Single-Family Attached	CA, 00101	Vacant	1	0	0	5	123	2409	63266
Single-Family Detached	CA, 00101	Occupied	0	0.809522	0.190478	1725	23231	1725	23231
Single-Family Detached	CA, 00101	Vacant	1	0	0	50	1134	50	1134
Mobile Home	CA, 00102	Occupied	0	0.368771	0.631229	17	301	17	301
Mobile Home	CA, 00102	Vacant	1	0	0	0	0	42	1012
Multi-Family with 2 - 4 Units	CA, 00102	Occupied	0	0.159018	0.840982	768	14338	768	14338
Multi-Family with 2 - 4 Units	CA, 00102	Vacant	1	0	0	55	1313	55	1313
Multi-Family with 5+ Units	CA, 00102	Occupied	0	0.123508	0.876492	2199	41625	2199	41625
Multi-Family with 5+ Units	CA, 00102	Vacant	1	0	0	104	3188	104	3188
Single-Family Attached	CA, 00102	Occupied	0	0.441802	0.558198	248	3952	248	3952
Single-Family Attached	CA, 00102	Vacant	1	0	0	16	330	16	330
Single-Family Detached	CA, 00102	Occupied	0	0.635859	0.364141	926	14239	926	14239
Single-Family Detached	CA, 00102	Vacant	1	0	0	42	1012	42	1012
Mobile Home	CA, 00103	Occupied	0	0.874513	0.125487	6	130	2174	36482
Mobile Home	CA, 00103	Vacant	1	0	0	0	0	28	852
Multi-Family with 2 - 4 Units	CA, 00103	Occupied	0	0.185714	0.814286	315	5810	315	5810
Multi-Family with 2 - 4 Units	CA, 00103	Vacant	1	0	0	18	647	18	647
Multi-Family with 5+ Units	CA, 00103	Occupied	0	0.153901	0.846099	565	11163	565	11163
Multi-Family with 5+ Units	CA, 00103	Vacant	1	0	0	23	914	23	914
Single-Family Attached	CA, 00103	Occupied	0	0.598294	0.401706	127	2228	127	2228
Single-Family Attached	CA, 00103	Vacant	1	0	0	5	182	2409	63266
Single-Family Detached	CA, 00103	Occupied	0	0.87632	0.12368	2168	36352	2168	36352
Single-Family Detached	CA, 00103	Vacant	1	0	0	28	852	28	852
Mobile Home	CA, 00104	Occupied	0	0.636364	0.363636	11	176	11	176
Mobile Home	CA, 00104	Vacant	1	0	0	0	0	55	1417
Multi-Family with 2 - 4 Units	CA, 00104	Occupied	0	0.0834241	0.916576	351	8259	351	8259
Multi-Family with 2 - 4 Units	CA, 00104	Vacant	1	0	0	36	903	36	903
Multi-Family with 5+ Units	CA, 00104	Occupied	0	0.0304058	0.969594	359	8255	359	8255
Multi-Family with 5+ Units	CA, 00104	Vacant	1	0	0	20	530	20	530
Single-Family Attached	CA, 00104	Occupied	0	0.286787	0.713213	124	2664	124	2664
Single-Family Attached	CA, 00104	Vacant	1	0	0	9	244	464	14583
Single-Family Detached	CA, 00104	Occupied	0	0.628578	0.371422	1212	22220	1212	22220
Single-Family Detached	CA, 00104	Vacant	1	0	0	55	1417	55	1417
Mobile Home	CA, 00105	Occupied	0	0.944805	0.0551948	33	616	33	616
Mobile Home	CA, 00105	Vacant	1	0	0	1	63	38	1414
Multi-Family with 2 - 4 Units	CA, 00105	Occupied	0	0.128662	0.871338	327	7135	327	7135
Multi-Family with 2 - 4 Units	CA, 00105	Vacant	1	0	0	17	622	17	622
Multi-Family with 5+ Units	CA, 00105	Occupied	0	0.106658	0.893342	788	17317	788	17317
Multi-Family with 5+ Units	CA, 00105	Vacant	1	0	0	31	1062	31	1062
Single-Family Attached	CA, 00105	Occupied	0	0.601317	0.398683	277	5769	277	5769
Single-Family Attached	CA, 00105	Vacant	1	0	0	11	292	11	292
Single-Family Detached	CA, 00105	Occupied	0	0.796283	0.203717	1719	32550	1719	32550
Single-Family Detached	CA, 00105	Vacant	1	0	0	37	1351	37	1351
Mobile Home	CA, 00106	Occupied	0	0.596703	0.403297	37	910	37	910
Mobile Home	CA, 00106	Vacant	1	0	0	0	0	31	939
Multi-Family with 2 - 4 Units	CA, 00106	Occupied	0	0.126279	0.873721	126	3128	126	3128
Multi-Family with 2 - 4 Units	CA, 00106	Vacant	1	0	0	3	104	2868	89713
Multi-Family with 5+ Units	CA, 00106	Occupied	0	0.0470032	0.952997	393	9510	393	9510
Multi-Family with 5+ Units	CA, 00106	Vacant	1	0	0	12	461	12	461
Single-Family Attached	CA, 00106	Occupied	0	0.468256	0.531744	227	4993	227	4993
Single-Family Attached	CA, 00106	Vacant	1	0	0	3	148	2409	63266
Single-Family Detached	CA, 00106	Occupied	0	0.79998	0.20002	1614	29662	1614	29662
Single-Family Detached	CA, 00106	Vacant	1	0	0	31	939	31	939
Mobile Home	CA, 00107	Occupied	0	0.878934	0.121066	142	2288	142	2288
Mobile Home	CA, 00107	Vacant	1	0	0	6	192	42	1273
Multi-Family with 2 - 4 Units	CA, 00107	Occupied	0	0.118664	0.881336	131	2545	131	2545
Multi-Family with 2 - 4 Units	CA, 00107	Vacant	1	0	0	3	89	2868	89713
Multi-Family with 5+ Units	CA, 00107	Occupied	0	0.0658678	0.934132	562	12267	562	12267
Multi-Family with 5+ Units	CA, 00107	Vacant	1	0	0	28	909	28	909
Single-Family Attached	CA, 00107	Occupied	0	0.573246	0.426754	252	5031	252	5031
Single-Family Attached	CA, 00107	Vacant	1	0	0	1	32	2409	63266
Single-Family Detached	CA, 00107	Occupied	0	0.759045	0.240955	1479	25457	1479	25457
Single-Family Detached	CA, 00107	Vacant	1	0	0	36	1081	36	1081
Mobile Home	CA, 00108	Occupied	0	0.821317	0.178683	50	957	50	957
Mobile Home	CA, 00108	Vacant	1	0	0	0	0	31	863
Multi-Family with 2 - 4 Units	CA, 00108	Occupied	0	0.263575	0.736425	111	1639	111	1639
Multi-Family with 2 - 4 Units	CA, 00108	Vacant	1	0	0	2	83	2868	89713
Multi-Family with 5+ Units	CA, 00108	Occupied	0	0.15624	0.84376	355	6522	355	6522
Multi-Family with 5+ Units	CA, 00108	Vacant	1	0	0	13	470	13	470
Single-Family Attached	CA, 00108	Occupied	0	0.646951	0.353049	367	6526	367	6526
Single-Family Attached	CA, 00108	Vacant	1	0	0	14	491	14	491
Single-Family Detached	CA, 00108	Occupied	0	0.818982	0.181018	1702	28279	1702	28279
Single-Family Detached	CA, 00108	Vacant	1	0	0	31	863	31	863
Mobile Home	CA, 00109	Occupied	0	0.891775	0.108225	35	693	35	693
Mobile Home	CA, 00109	Vacant	1	0	0	0	0	48	1713
Multi-Family with 2 - 4 Units	CA, 00109	Occupied	0	0.21255	0.78745	120	2263	120	2263
Multi-Family with 2 - 4 Units	CA, 00109	Vacant	1	0	0	3	59	2868	89713
Multi-Family with 5+ Units	CA, 00109	Occupied	0	0.0816753	0.918325	724	16737	724	16737
Multi-Family with 5+ Units	CA, 00109	Vacant	1	0	0	27	1076	27	1076
Single-Family Attached	CA, 00109	Occupied	0	0.635274	0.364726	365	7677	365	7677
Single-Family Attached	CA, 00109	Vacant	1	0	0	6	294	2409	63266
Single-Family Detached	CA, 00109	Occupied	0	0.821204	0.178796	2302	39833	2302	39833
Single-Family Detached	CA, 00109	Vacant	1	0	0	48	1713	48	1713
Mobile Home	CA, 00110	Occupied	0	0.823789	0.176211	44	908	44	908
Mobile Home	CA, 00110	Vacant	1	0	0	1	2	54	1690
Multi-Family with 2 - 4 Units	CA, 00110	Occupied	0	0.217548	0.782452	161	3613	161	3613
Multi-Family with 2 - 4 Units	CA, 00110	Vacant	1	0	0	3	127	2868	89713
Multi-Family with 5+ Units	CA, 00110	Occupied	0	0.120316	0.879684	640	14412	640	14412
Multi-Family with 5+ Units	CA, 00110	Vacant	1	0	0	27	1195	27	1195
Single-Family Attached	CA, 00110	Occupied	0	0.723634	0.276366	466	9093	466	9093
Single-Family Attached	CA, 00110	Vacant	1	0	0	7	248	2409	63266
Single-Family Detached	CA, 00110	Occupied	0	0.872506	0.127494	2945	54387	2945	54387
Single-Family Detached	CA, 00110	Vacant	1	0	0	53	1688	53	1688
Mobile Home	CA, 00300	Occupied	0	0.711917	0.288083	580	9952	580	9952
Mobile Home	CA, 00300	Vacant	1	0	0	97	2132	97	2132
Multi-Family with 2 - 4 Units	CA, 00300	Occupied	0	0.100409	0.899591	136	3177	136	3177
Multi-Family with 2 - 4 Units	CA, 00300	Vacant	1	0	0	43	1420	43	1420
Multi-Family with 5+ Units	CA, 00300	Occupied	0	0.0876817	0.912318	159	4197	159	4197
Multi-Family with 5+ Units	CA, 00300	Vacant	1	0	0	136	4127	136	4127
Single-Family Attached	CA, 00300	Occupied	0	0.412236	0.587764	83	1749	83	1749
Single-Family Attached	CA, 00300	Vacant	1	0	0	64	2204	64	2204
Single-Family Detached	CA, 00300	Occupied	0	0.821361	0.178639	3079	55671	3079	55671
Single-Family Detached	CA, 00300	Vacant	1	0	0	1100	29164	1100	29164
Mobile Home	CA, 00701	Occupied	0	0.765782	0.234218	140	2788	140	2788
Mobile Home	CA, 00701	Vacant	1	0	0	11	349	11	349
Multi-Family with 2 - 4 Units	CA, 00701	Occupied	0	0.0284757	0.971524	294	6567	294	6567
Multi-Family with 2 - 4 Units	CA, 00701	Vacant	1	0	0	25	791	25	791
Multi-Family with 5+ Units	CA, 00701	Occupied	0	0.0231888	0.976811	402	8323	402	8323
Multi-Family with 5+ Units	CA, 00701	Vacant	1	0	0	45	1607	45	1607
Single-Family Attached	CA, 00701	Occupied	0	0.280418	0.719582	106	1915	106	1915
Single-Family Attached	CA, 00701	Vacant	1	0	0	5	178	2409	63266
Single-Family Detached	CA, 00701	Occupied	0	0.752595	0.247405	1479	26103	1479	26103
Single-Family Detached	CA, 00701	Vacant	1	0	0	60	2366	60	2366
Mobile Home	CA, 00702	Occupied	0	0.752593	0.247407	448	8387	448	8387
Mobile Home	CA, 00702	Vacant	1	0	0	58	1746	58	1746
Multi-Family with 2 - 4 Units	CA, 00702	Occupied	0	0.025766	0.974234	72	1436	72	1436
Multi-Family with 2 - 4 Units	CA, 00702	Vacant	1	0	0	11	515	11	515
Multi-Family with 5+ Units	CA, 00702	Occupied	0	0.0591216	0.940878	71	1776	71	1776
Multi-Family with 5+ Units	CA, 00702	Vacant	1	0	0	5	217	6647	239309
Single-Family Attached	CA, 00702	Occupied	0	0.147213	0.852787	53	1148	53	1148
Single-Family Attached	CA, 00702	Vacant	1	0	0	3	108	2409	63266
Single-Family Detached	CA, 00702	Occupied	0	0.764259	0.235741	1517	26877	1517	26877
Single-Family Detached	CA, 00702	Vacant	1	0	0	128	3308	128	3308
Mobile Home	CA, 01100	Occupied	0	0.665519	0.334481	466	8135	466	8135
Mobile Home	CA, 01100	Vacant	1	0	0	144	2131	144	2131
Multi-Family with 2 - 4 Units	CA, 01100	Occupied	0	0.0532319	0.946768	88	2630	88	2630
Multi-Family with 2 - 4 Units	CA, 01100	Vacant	1	0	0	8	209	977	19406
Multi-Family with 5+ Units	CA, 01100	Occupied	0	0.0253304	0.97467	103	3632	103	3632
Multi-Family with 5+ Units	CA, 01100	Vacant	1	0	0	5	277	1577	39156
Single-Family Attached	CA, 01100	Occupied	0	0.248084	0.751916	51	1044	51	1044
Single-Family Attached	CA, 01100	Vacant	1	0	0	7	88	353	8267
Single-Family Detached	CA, 01100	Occupied	0	0.7645	0.2355	1935	32000	1935	32000
Single-Family Detached	CA, 01100	Vacant	1	0	0	363	5382	363	5382
Mobile Home	CA, 01301	Occupied	0	0.458418	0.541582	23	493	23	493
Mobile Home	CA, 01301	Vacant	1	0	0	0	0	38	923
Multi-Family with 2 - 4 Units	CA, 01301	Occupied	0	0.0982878	0.901712	256	6074	256	6074
Multi-Family with 2 - 4 Units	CA, 01301	Vacant	1	0	0	20	574	20	574
Multi-Family with 5+ Units	CA, 01301	Occupied	0	0.0963644	0.903636	275	7399	275	7399
Multi-Family with 5+ Units	CA, 01301	Vacant	1	0	0	28	869	28	869
Single-Family Attached	CA, 01301	Occupied	0	0.42952	0.57048	172	3916	172	3916
Single-Family Attached	CA, 01301	Vacant	1	0	0	13	377	13	377
Single-Family Detached	CA, 01301	Occupied	0	0.659245	0.340755	1062	21470	1062	21470
Single-Family Detached	CA, 01301	Vacant	1	0	0	38	923	38	923
Mobile Home	CA, 01302	Occupied	0	0.600583	0.399417	18	343	18	343
Mobile Home	CA, 01302	Vacant	1	0	0	1	58	49	1472
Multi-Family with 2 - 4 Units	CA, 01302	Occupied	0	0.1855	0.8145	133	2469	133	2469
Multi-Family with 2 - 4 Units	CA, 01302	Vacant	1	0	0	9	294	2868	89713
Multi-Family with 5+ Units	CA, 01302	Occupied	0	0.107805	0.892195	299	7124	299	7124
Multi-Family with 5+ Units	CA, 01302	Vacant	1	0	0	16	624	16	624
Single-Family Attached	CA, 01302	Occupied	0	0.783129	0.216871	182	3011	182	3011
Single-Family Attached	CA, 01302	Vacant	1	0	0	7	191	2409	63266
Single-Family Detached	CA, 01302	Occupied	0	0.81373	0.18627	1952	32018	1952	32018
Single-Family Detached	CA, 01302	Vacant	1	0	0	48	1414	48	1414
Mobile Home	CA, 01303	Occupied	0	0.927109	0.0728911	47	1221	47	1221
Mobile Home	CA, 01303	Vacant	1	0	0	1	23	31	1109
Multi-Family with 2 - 4 Units	CA, 01303	Occupied	0	0.160847	0.839153	152	3780	152	3780
Multi-Family with 2 - 4 Units	CA, 01303	Vacant	1	0	0	6	184	2868	89713
Multi-Family with 5+ Units	CA, 01303	Occupied	0	0.0824758	0.917524	440	12925	440	12925
Multi-Family with 5+ Units	CA, 01303	Vacant	1	0	0	21	843	21	843
Single-Family Attached	CA, 01303	Occupied	0	0.687995	0.312005	203	4548	203	4548
Single-Family Attached	CA, 01303	Vacant	1	0	0	3	125	2409	63266
Single-Family Detached	CA, 01303	Occupied	0	0.806771	0.193229	1391	28386	1391	28386
Single-Family Detached	CA, 01303	Vacant	1	0	0	30	1086	30	1086
Mobile Home	CA, 01304	Occupied	0	0.922582	0.0774184	6	98	1617	32460
Mobile Home	CA, 01304	Vacant	1	0	0	2	36	38	1376
Multi-Family with 2 - 4 Units	CA, 01304	Occupied	0	0.604268	0.395732	208	4311	208	4311
Multi-Family with 2 - 4 Units	CA, 01304	Vacant	1	0	0	10	283	10	283
Multi-Family with 5+ Units	CA, 01304	Occupied	0	0.308535	0.691465	464	11143	464	11143
Multi-Family with 5+ Units	CA, 01304	Vacant	1	0	0	23	914	23	914
Single-Family Attached	CA, 01304	Occupied	0	0.75519	0.24481	197	3468	197	3468
Single-Family Attached	CA, 01304	Vacant	1	0	0	6	146	2409	63266
Single-Family Detached	CA, 01304	Occupied	0	0.924232	0.0757679	1611	32362	1611	32362
Single-Family Detached	CA, 01304	Vacant	1	0	0	36	1340	36	1340
Mobile Home	CA, 01305	Occupied	0	0.922836	0.0771636	1	24	1672	32308
Mobile Home	CA, 01305	Vacant	1	0	0	0	0	19	814
Multi-Family with 2 - 4 Units	CA, 01305	Occupied	0	0.323329	0.676671	64	1466	64	1466
Multi-Family with 2 - 4 Units	CA, 01305	Vacant	1	0	0	1	67	2868	89713
Multi-Family with 5+ Units	CA, 01305	Occupied	0	0.152501	0.847499	260	6118	260	6118
Multi-Family with 5+ Units	CA, 01305	Vacant	1	0	0	11	603	11	603
Single-Family Attached	CA, 01305	Occupied	0	0.81175	0.18825	277	5753	277	5753
Single-Family Attached	CA, 01305	Vacant	1	0	0	3	178	2409	63266
Single-Family Detached	CA, 01305	Occupied	0	0.922779	0.0772209	1671	32284	1671	32284
Single-Family Detached	CA, 01305	Vacant	1	0	0	19	814	19	814
Mobile Home	CA, 01306	Occupied	0	0.72821	0.27179	32	1067	32	1067
