	field	enumeration	enumeration_description
3355	in.county	G3800690	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3356	in.county	G3800710	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3357	in.county	G3800730	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3358	in.county	G3800750	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3359	in.county	G3800770	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3360	in.county	G3800790	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3361	in.county	G3800810	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3362	in.county	G3800830	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3363	in.county	G3800850	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3364	in.county	G3800870	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3365	in.county	G3800890	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3366	in.county	G3800910	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3367	in.county	G3800930	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3368	in.county	G3800950	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3369	in.county	G3800970	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3370	in.county	G3800990	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3371	in.county	G3801010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3372	in.county	G3801030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3373	in.county	G3801050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3374	in.county	G3900010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3375	in.county	G3900030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3376	in.county	G3900050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3377	in.county	G3900070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3378	in.county	G3900090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3379	in.county	G3900110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3380	in.county	G3900130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3381	in.county	G3900150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3382	in.county	G3900170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3383	in.county	G3900190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3384	in.county	G3900210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3385	in.county	G3900230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3386	in.county	G3900250	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3387	in.county	G3900270	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3388	in.county	G3900290	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3389	in.county	G3900310	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3390	in.county	G3900330	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3391	in.county	G3900350	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3392	in.county	G3900370	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3393	in.county	G3900390	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3394	in.county	G3900410	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3395	in.county	G3900430	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3396	in.county	G3900450	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3397	in.county	G3900470	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3398	in.county	G3900490	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3399	in.county	G3900510	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3400	in.county	G3900530	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3401	in.county	G3900550	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3402	in.county	G3900570	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3403	in.county	G3900590	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3404	in.county	G3900610	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3405	in.county	G3900630	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3406	in.county	G3900650	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3407	in.county	G3900670	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3408	in.county	G3900690	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3409	in.county	G3900710	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3410	in.county	G3900730	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3411	in.county	G3900750	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3412	in.county	G3900770	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3413	in.county	G3900790	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3414	in.county	G3900810	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3415	in.county	G3900830	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3416	in.county	G3900850	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3417	in.county	G3900870	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3418	in.county	G3900890	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3419	in.county	G3900910	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3420	in.county	G3900930	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3421	in.county	G3900950	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3422	in.county	G3900970	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3423	in.county	G3900990	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3424	in.county	G3901010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3425	in.county	G3901030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3426	in.county	G3901050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3427	in.county	G3901070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3428	in.county	G3901090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3429	in.county	G3901110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3430	in.county	G3901130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3431	in.county	G3901150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3432	in.county	G3901170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3433	in.county	G3901190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3434	in.county	G3901210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3435	in.county	G3901230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3436	in.county	G3901250	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3437	in.county	G3901270	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3438	in.county	G3901290	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3439	in.county	G3901310	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3440	in.county	G3901330	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3441	in.county	G3901350	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3442	in.county	G3901370	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3443	in.county	G3901390	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3444	in.county	G3901410	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3445	in.county	G3901430	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3446	in.county	G3901450	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3447	in.county	G3901470	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3448	in.county	G3901490	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3449	in.county	G3901510	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3450	in.county	G3901530	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3451	in.county	G3901550	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3452	in.county	G3901570	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3453	in.county	G3901590	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3454	in.county	G3901610	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3455	in.county	G3901630	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3456	in.county	G3901650	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3457	in.county	G3901670	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3458	in.county	G3901690	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3459	in.county	G3901710	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3460	in.county	G3901730	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3461	in.county	G3901750	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3462	in.county	G4000010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3463	in.county	G4000030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3464	in.county	G4000050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3465	in.county	G4000070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3466	in.county	G4000090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3467	in.county	G4000110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3468	in.county	G4000130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3469	in.county	G4000150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3470	in.county	G4000170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3471	in.county	G4000190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3472	in.county	G4000210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3473	in.county	G4000230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
